py_entry_time,py_entry_price,py_exit_time,py_exit_price,py_side,py_result,py_exit_reason,py_mae,py_mfe,py_ib_range,py_tie_break,py_realized_r,py_date,py_play,py_avwap_source,py_break_vs_avwap_0930,py_trend_misaligned,py_entry_dt,nt8_side,nt8_entry_time,nt8_entry_price,nt8_exit_time,nt8_exit_price,nt8_pnl,nt8_exit_reason,nt8_entry_dt,nt8_date,nt8_dt_diff,entry_time_diff_s,entry_price_diff,exit_price_diff,result_match
2026-01-02 10:12:00-05:00,26144.0,2026-01-02 10:18:00-05:00,26071.5,SHORT,1,target,39.25,75.25,165.5,False,1.0,2026-01-02,1,parquet,1.0,1,2026-01-02 10:12:00-05:00,,,,,,,,,,,,,,
2026-01-08 10:00:00-05:00,26106.5,2026-01-08 15:50:00-05:00,26192.5,SHORT,-1,liquidation_1550,123.0,21.5,205.75,False,-0.8947,2026-01-08,1,parquet,-1.0,1,2026-01-08 10:00:00-05:00,,,,,,,,,,,,,,
2026-01-09 10:08:00-05:00,26154.5,2026-01-09 10:22:00-05:00,26296.25,SHORT,-1,stop,175.75,23.0,141.75,False,-2.3285,2026-01-09,1,parquet,1.0,1,2026-01-09 10:08:00-05:00,,,,,,,,,,,,,,
2026-01-13 10:02:00-05:00,26422.0,2026-01-13 10:18:00-05:00,26390.75,SHORT,1,target,51.75,42.0,112.0,False,1.0,2026-01-13,1,parquet,1.0,1,2026-01-13 10:02:00-05:00,SHORT,2026-01-13T10:04:00,25905.75,2026-01-13T10:19:00,25874.75,620.0,Profit target,2026-01-13 05:04:00-05:00,2026-01-13,17880.0,17880.0,516.25,516.0,True
2026-01-14 10:00:00-05:00,26056.5,2026-01-14 10:50:00-05:00,25993.88,SHORT,1,target,153.0,63.5,208.25,False,1.0,2026-01-14,1,parquet,-1.0,1,2026-01-14 10:00:00-05:00,SHORT,2026-01-14T10:02:00,25539.25,2026-01-14T10:49:00,25494.75,890.0,Profit target,2026-01-14 05:02:00-05:00,2026-01-14,17880.0,17880.0,517.25,499.130000000001,True
2026-01-15 10:46:00-05:00,26343.25,2026-01-15 11:51:00-05:00,26453.0,SHORT,-1,stop,110.0,24.0,109.75,False,-2.8051,2026-01-15,1,parquet,1.0,1,2026-01-15 10:46:00-05:00,SHORT,2026-01-15T10:48:00,25826.75,2026-01-15T11:52:00,25937.0,-2205.0,Stop loss,2026-01-15 05:48:00-05:00,2026-01-15,17880.0,17880.0,516.5,516.0,True
2026-01-16 10:01:00-05:00,26232.0,2026-01-16 10:35:00-05:00,26159.88,SHORT,1,target,49.5,73.75,164.75,False,1.0,2026-01-16,1,parquet,1.0,1,2026-01-16 10:01:00-05:00,SHORT,2026-01-16T10:02:00,25727.0,2026-01-16T10:20:00,25668.0,1180.0,Profit target,2026-01-16 05:02:00-05:00,2026-01-16,17940.0,17940.0,505.0,491.880000000001,True
2026-01-22 10:02:00-05:00,26064.75,2026-01-22 15:50:00-05:00,26149.75,SHORT,-1,liquidation_1550,174.75,12.0,177.5,False,-1.021,2026-01-22,1,parquet,1.0,1,2026-01-22 10:02:00-05:00,,,,,,,,,,,,,,
2026-01-28 10:32:00-05:00,26727.75,2026-01-28 10:47:00-05:00,26686.12,SHORT,1,target,16.5,45.5,87.25,False,1.0,2026-01-28,1,parquet,-1.0,1,2026-01-28 10:32:00-05:00,SHORT,2026-01-28T10:34:00,26211.75,2026-01-28T10:48:00,26170.25,830.0,Profit target,2026-01-28 05:34:00-05:00,2026-01-28,17880.0,17880.0,516.0,515.869999999999,True
2026-01-29 10:00:00-05:00,26326.0,2026-01-29 10:32:00-05:00,26215.5,SHORT,1,target,58.25,111.75,317.0,False,1.0,2026-01-29,1,parquet,-1.0,1,2026-01-29 10:00:00-05:00,SHORT,2026-01-29T10:02:00,25808.75,2026-01-29T10:15:00,25737.75,1420.0,Profit target,2026-01-29 05:02:00-05:00,2026-01-29,17880.0,17880.0,517.25,477.75,True
